Venue:,Capacity:,Timestamp:
MyFitness Lasnamäe Linnamäe,18%,2021-03-05 06:05:46.916658
MyFitness Lasnamäe Virbi,18%,2021-03-05 06:05:46.916659
MyFitness Mustamäe,39%,2021-03-05 06:05:46.916660
MyFitness Narva,34%,2021-03-05 06:05:46.916661
MyFitness Pirita,27%,2021-03-05 06:05:46.916662
MyFitness Postimaja,28%,2021-03-05 06:05:46.916663
MyFitness Rocca al Mare,51%,2021-03-05 06:05:46.916664
MyFitness Rävala,45%,2021-03-05 06:05:46.916665
MyFitness Solaris,12%,2021-03-05 06:05:46.916666
MyFitness Tartu Annelinn,13%,2021-03-05 06:05:46.916667
MyFitness Tartu Kesklinn,25%,2021-03-05 06:05:46.916668
MyFitness Tartu Lõunakeskus,19%,2021-03-05 06:05:46.916668
MyFitness Viimsi,13%,2021-03-05 06:05:46.916669
MyFitness Viljandi,23%,2021-03-05 06:05:46.916671
MyFitness Viru,18%,2021-03-05 06:05:46.916671
MyFitness Ülemiste City,40%,2021-03-05 06:05:46.916672
MyFitness Balti Jaama Turg,40%,2021-03-05 07:05:44.334428
MyFitness Järve,34%,2021-03-05 07:05:44.334433
MyFitness Kristiine,37%,2021-03-05 07:05:44.334435
MyFitness Lasnamäe Kärberi,29%,2021-03-05 07:05:44.334436
MyFitness Lasnamäe Linnamäe,30%,2021-03-05 07:05:44.334437
MyFitness Lasnamäe Virbi,22%,2021-03-05 07:05:44.334438
MyFitness Mustamäe,28%,2021-03-05 07:05:44.334439
MyFitness Narva,55%,2021-03-05 07:05:44.334440
MyFitness Pirita,40%,2021-03-05 07:05:44.334442
MyFitness Postimaja,29%,2021-03-05 07:05:44.334443
MyFitness Rocca al Mare,60%,2021-03-05 07:05:44.334444
MyFitness Rävala,40%,2021-03-05 07:05:44.334445
MyFitness Solaris,24%,2021-03-05 07:05:44.334446
MyFitness Tartu Annelinn,25%,2021-03-05 07:05:44.334447
MyFitness Tartu Kesklinn,34%,2021-03-05 07:05:44.334448
MyFitness Tartu Lõunakeskus,27%,2021-03-05 07:05:44.334449
MyFitness Viimsi,19%,2021-03-05 07:05:44.334451
MyFitness Viljandi,18%,2021-03-05 07:05:44.334452
MyFitness Viru,25%,2021-03-05 07:05:44.334453
MyFitness Ülemiste City,43%,2021-03-05 07:05:44.334454
MyFitness Balti Jaama Turg,37%,2021-03-05 08:05:47.605840
MyFitness Järve,37%,2021-03-05 08:05:47.605843
MyFitness Kristiine,24%,2021-03-05 08:05:47.605845
MyFitness Lasnamäe Kärberi,24%,2021-03-05 08:05:47.605845
MyFitness Lasnamäe Linnamäe,24%,2021-03-05 08:05:47.605846
MyFitness Lasnamäe Virbi,19%,2021-03-05 08:05:47.605847
MyFitness Mustamäe,31%,2021-03-05 08:05:47.605848
MyFitness Narva,38%,2021-03-05 08:05:47.605848
MyFitness Pirita,25%,2021-03-05 08:05:47.605849
MyFitness Postimaja,17%,2021-03-05 08:05:47.605850
MyFitness Rocca al Mare,58%,2021-03-05 08:05:47.605850
MyFitness Rävala,43%,2021-03-05 08:05:47.605851
MyFitness Solaris,12%,2021-03-05 08:05:47.605852
MyFitness Tartu Annelinn,35%,2021-03-05 08:05:47.605852
MyFitness Tartu Kesklinn,25%,2021-03-05 08:05:47.605853
MyFitness Tartu Lõunakeskus,21%,2021-03-05 08:05:47.605854
MyFitness Viimsi,26%,2021-03-05 08:05:47.605854
MyFitness Viljandi,16%,2021-03-05 08:05:47.605855
MyFitness Viru,20%,2021-03-05 08:05:47.605855
MyFitness Ülemiste City,36%,2021-03-05 08:05:47.605856
MyFitness Balti Jaama Turg,57%,2021-03-05 09:05:45.811229
MyFitness Järve,39%,2021-03-05 09:05:45.811233
MyFitness Kristiine,28%,2021-03-05 09:05:45.811235
MyFitness Lasnamäe Kärberi,24%,2021-03-05 09:05:45.811235
MyFitness Lasnamäe Linnamäe,30%,2021-03-05 09:05:45.811237
MyFitness Lasnamäe Virbi,19%,2021-03-05 09:05:45.811238
MyFitness Mustamäe,45%,2021-03-05 09:05:45.811239
MyFitness Narva,32%,2021-03-05 09:05:45.811240
MyFitness Pirita,32%,2021-03-05 09:05:45.811241
MyFitness Postimaja,18%,2021-03-05 09:05:45.811242
MyFitness Rocca al Mare,64%,2021-03-05 09:05:45.811243
MyFitness Rävala,64%,2021-03-05 09:05:45.811244
MyFitness Solaris,19%,2021-03-05 09:05:45.811245
MyFitness Tartu Annelinn,53%,2021-03-05 09:05:45.811245
MyFitness Tartu Kesklinn,26%,2021-03-05 09:05:45.811246
MyFitness Tartu Lõunakeskus,48%,2021-03-05 09:05:45.811247
MyFitness Viimsi,32%,2021-03-05 09:05:45.811248
MyFitness Viljandi,41%,2021-03-05 09:05:45.811249
MyFitness Viru,27%,2021-03-05 09:05:45.811250
MyFitness Ülemiste City,33%,2021-03-05 09:05:45.811251
MyFitness Balti Jaama Turg,55%,2021-03-05 10:05:44.370682
MyFitness Järve,32%,2021-03-05 10:05:44.370687
MyFitness Kristiine,13%,2021-03-05 10:05:44.370688
MyFitness Lasnamäe Kärberi,18%,2021-03-05 10:05:44.370689
MyFitness Lasnamäe Linnamäe,34%,2021-03-05 10:05:44.370691
MyFitness Lasnamäe Virbi,16%,2021-03-05 10:05:44.370692
MyFitness Mustamäe,38%,2021-03-05 10:05:44.370693
MyFitness Narva,41%,2021-03-05 10:05:44.370694
MyFitness Pirita,28%,2021-03-05 10:05:44.370695
MyFitness Postimaja,14%,2021-03-05 10:05:44.370696
MyFitness Rocca al Mare,55%,2021-03-05 10:05:44.370697
MyFitness Rävala,51%,2021-03-05 10:05:44.370698
MyFitness Solaris,24%,2021-03-05 10:05:44.370699
MyFitness Tartu Annelinn,50%,2021-03-05 10:05:44.370700
MyFitness Tartu Kesklinn,33%,2021-03-05 10:05:44.370701
MyFitness Tartu Lõunakeskus,46%,2021-03-05 10:05:44.370702
MyFitness Viimsi,37%,2021-03-05 10:05:44.370703
MyFitness Viljandi,39%,2021-03-05 10:05:44.370704
MyFitness Viru,35%,2021-03-05 10:05:44.370705
MyFitness Ülemiste City,46%,2021-03-05 10:05:44.370706
MyFitness Balti Jaama Turg,34%,2021-03-05 11:05:42.102482
MyFitness Järve,40%,2021-03-05 11:05:42.102486
MyFitness Kristiine,36%,2021-03-05 11:05:42.102487
MyFitness Lasnamäe Kärberi,16%,2021-03-05 11:05:42.102488
MyFitness Lasnamäe Linnamäe,28%,2021-03-05 11:05:42.102489
MyFitness Lasnamäe Virbi,9%,2021-03-05 11:05:42.102491
MyFitness Mustamäe,47%,2021-03-05 11:05:42.102491
MyFitness Narva,54%,2021-03-05 11:05:42.102492
MyFitness Pirita,48%,2021-03-05 11:05:42.102493
MyFitness Postimaja,23%,2021-03-05 11:05:42.102494
MyFitness Rocca al Mare,66%,2021-03-05 11:05:42.102495
MyFitness Rävala,63%,2021-03-05 11:05:42.102496
MyFitness Solaris,21%,2021-03-05 11:05:42.102497
MyFitness Tartu Annelinn,43%,2021-03-05 11:05:42.102498
MyFitness Tartu Kesklinn,43%,2021-03-05 11:05:42.102499
MyFitness Tartu Lõunakeskus,52%,2021-03-05 11:05:42.102500
MyFitness Viimsi,25%,2021-03-05 11:05:42.102501
MyFitness Viljandi,27%,2021-03-05 11:05:42.102502
MyFitness Viru,28%,2021-03-05 11:05:42.102503
MyFitness Ülemiste City,47%,2021-03-05 11:05:42.102504
MyFitness Balti Jaama Turg,21%,2021-03-05 12:05:50.568674
MyFitness Järve,44%,2021-03-05 12:05:50.568679
MyFitness Kristiine,34%,2021-03-05 12:05:50.568680
MyFitness Lasnamäe Kärberi,15%,2021-03-05 12:05:50.568681
MyFitness Lasnamäe Linnamäe,29%,2021-03-05 12:05:50.568683
MyFitness Lasnamäe Virbi,10%,2021-03-05 12:05:50.568685
MyFitness Mustamäe,39%,2021-03-05 12:05:50.568686
MyFitness Narva,45%,2021-03-05 12:05:50.568687
MyFitness Pirita,55%,2021-03-05 12:05:50.568688
MyFitness Postimaja,45%,2021-03-05 12:05:50.568690
MyFitness Rocca al Mare,53%,2021-03-05 12:05:50.568691
MyFitness Rävala,69%,2021-03-05 12:05:50.568692
MyFitness Solaris,17%,2021-03-05 12:05:50.568693
MyFitness Tartu Annelinn,40%,2021-03-05 12:05:50.568694
MyFitness Tartu Kesklinn,42%,2021-03-05 12:05:50.568695
MyFitness Tartu Lõunakeskus,40%,2021-03-05 12:05:50.568696
MyFitness Viimsi,29%,2021-03-05 12:05:50.568697
MyFitness Viljandi,36%,2021-03-05 12:05:50.568699
MyFitness Viru,35%,2021-03-05 12:05:50.568700
MyFitness Ülemiste City,36%,2021-03-05 12:05:50.568701
MyFitness Balti Jaama Turg,33%,2021-03-05 13:05:39.994734
MyFitness Järve,62%,2021-03-05 13:05:39.994739
MyFitness Kristiine,54%,2021-03-05 13:05:39.994740
MyFitness Lasnamäe Kärberi,24%,2021-03-05 13:05:39.994741
MyFitness Lasnamäe Linnamäe,27%,2021-03-05 13:05:39.994742
MyFitness Lasnamäe Virbi,18%,2021-03-05 13:05:39.994743
MyFitness Mustamäe,38%,2021-03-05 13:05:39.994744
MyFitness Narva,48%,2021-03-05 13:05:39.994745
MyFitness Pirita,55%,2021-03-05 13:05:39.994746
MyFitness Postimaja,42%,2021-03-05 13:05:39.994747
MyFitness Rocca al Mare,86%,2021-03-05 13:05:39.994748
MyFitness Rävala,75%,2021-03-05 13:05:39.994748
MyFitness Solaris,14%,2021-03-05 13:05:39.994749
MyFitness Tartu Annelinn,47%,2021-03-05 13:05:39.994750
MyFitness Tartu Kesklinn,54%,2021-03-05 13:05:39.994751
MyFitness Tartu Lõunakeskus,23%,2021-03-05 13:05:39.994752
MyFitness Viimsi,37%,2021-03-05 13:05:39.994752
MyFitness Viljandi,50%,2021-03-05 13:05:39.994753
MyFitness Viru,47%,2021-03-05 13:05:39.994754
MyFitness Ülemiste City,51%,2021-03-05 13:05:39.994755
MyFitness Balti Jaama Turg,33%,2021-03-05 14:05:41.266820
MyFitness Järve,54%,2021-03-05 14:05:41.266824
MyFitness Kristiine,42%,2021-03-05 14:05:41.266825
MyFitness Lasnamäe Kärberi,24%,2021-03-05 14:05:41.266826
MyFitness Lasnamäe Linnamäe,19%,2021-03-05 14:05:41.266828
MyFitness Lasnamäe Virbi,18%,2021-03-05 14:05:41.266829
MyFitness Mustamäe,36%,2021-03-05 14:05:41.266830
MyFitness Narva,45%,2021-03-05 14:05:41.266831
MyFitness Pirita,40%,2021-03-05 14:05:41.266832
MyFitness Postimaja,31%,2021-03-05 14:05:41.266833
MyFitness Rocca al Mare,82%,2021-03-05 14:05:41.266834
MyFitness Rävala,45%,2021-03-05 14:05:41.266835
MyFitness Solaris,26%,2021-03-05 14:05:41.266836
MyFitness Tartu Annelinn,49%,2021-03-05 14:05:41.266837
MyFitness Tartu Kesklinn,42%,2021-03-05 14:05:41.266838
MyFitness Tartu Lõunakeskus,31%,2021-03-05 14:05:41.266839
MyFitness Viimsi,27%,2021-03-05 14:05:41.266840
MyFitness Viljandi,52%,2021-03-05 14:05:41.266841
MyFitness Viru,45%,2021-03-05 14:05:41.266842
MyFitness Ülemiste City,38%,2021-03-05 14:05:41.266843
MyFitness Balti Jaama Turg,31%,2021-03-05 15:05:46.053038
MyFitness Järve,59%,2021-03-05 15:05:46.053042
MyFitness Kristiine,34%,2021-03-05 15:05:46.053043
MyFitness Lasnamäe Kärberi,18%,2021-03-05 15:05:46.053044
MyFitness Lasnamäe Linnamäe,24%,2021-03-05 15:05:46.053045
MyFitness Lasnamäe Virbi,13%,2021-03-05 15:05:46.053047
MyFitness Mustamäe,50%,2021-03-05 15:05:46.053048
MyFitness Narva,52%,2021-03-05 15:05:46.053049
MyFitness Pirita,25%,2021-03-05 15:05:46.053050
MyFitness Postimaja,34%,2021-03-05 15:05:46.053051
MyFitness Rocca al Mare,60%,2021-03-05 15:05:46.053052
MyFitness Rävala,60%,2021-03-05 15:05:46.053053
MyFitness Solaris,24%,2021-03-05 15:05:46.053054
MyFitness Tartu Annelinn,56%,2021-03-05 15:05:46.053054
MyFitness Tartu Kesklinn,47%,2021-03-05 15:05:46.053056
MyFitness Tartu Lõunakeskus,46%,2021-03-05 15:05:46.053056
MyFitness Viimsi,48%,2021-03-05 15:05:46.053057
MyFitness Viljandi,41%,2021-03-05 15:05:46.053058
MyFitness Viru,42%,2021-03-05 15:05:46.053059
MyFitness Ülemiste City,39%,2021-03-05 15:05:46.053060
MyFitness Balti Jaama Turg,57%,2021-03-05 16:05:40.439249
MyFitness Järve,49%,2021-03-05 16:05:40.439253
MyFitness Kristiine,47%,2021-03-05 16:05:40.439254
MyFitness Lasnamäe Kärberi,26%,2021-03-05 16:05:40.439255
MyFitness Lasnamäe Linnamäe,28%,2021-03-05 16:05:40.439256
MyFitness Lasnamäe Virbi,15%,2021-03-05 16:05:40.439256
MyFitness Mustamäe,69%,2021-03-05 16:05:40.439257
MyFitness Narva,52%,2021-03-05 16:05:40.439258
MyFitness Pirita,35%,2021-03-05 16:05:40.439259
MyFitness Postimaja,35%,2021-03-05 16:05:40.439260
MyFitness Rocca al Mare,71%,2021-03-05 16:05:40.439261
MyFitness Rävala,61%,2021-03-05 16:05:40.439262
MyFitness Solaris,36%,2021-03-05 16:05:40.439263
MyFitness Tartu Annelinn,53%,2021-03-05 16:05:40.439264
MyFitness Tartu Kesklinn,47%,2021-03-05 16:05:40.439264
MyFitness Tartu Lõunakeskus,29%,2021-03-05 16:05:40.439265
MyFitness Viimsi,43%,2021-03-05 16:05:40.439266
MyFitness Viljandi,39%,2021-03-05 16:05:40.439267
MyFitness Viru,28%,2021-03-05 16:05:40.439268
MyFitness Ülemiste City,36%,2021-03-05 16:05:40.439269
MyFitness Balti Jaama Turg,61%,2021-03-05 17:05:42.090979
MyFitness Järve,46%,2021-03-05 17:05:42.090984
MyFitness Kristiine,39%,2021-03-05 17:05:42.090985
MyFitness Lasnamäe Kärberi,21%,2021-03-05 17:05:42.090986
MyFitness Lasnamäe Linnamäe,22%,2021-03-05 17:05:42.090988
MyFitness Lasnamäe Virbi,27%,2021-03-05 17:05:42.090989
MyFitness Mustamäe,65%,2021-03-05 17:05:42.090990
MyFitness Narva,41%,2021-03-05 17:05:42.090991
MyFitness Pirita,43%,2021-03-05 17:05:42.090993
MyFitness Postimaja,31%,2021-03-05 17:05:42.090994
MyFitness Rocca al Mare,69%,2021-03-05 17:05:42.090995
MyFitness Rävala,84%,2021-03-05 17:05:42.090996
MyFitness Solaris,19%,2021-03-05 17:05:42.090997
MyFitness Tartu Annelinn,56%,2021-03-05 17:05:42.090999
MyFitness Tartu Kesklinn,54%,2021-03-05 17:05:42.091000
MyFitness Tartu Lõunakeskus,21%,2021-03-05 17:05:42.091001
MyFitness Viimsi,31%,2021-03-05 17:05:42.091002
MyFitness Viljandi,45%,2021-03-05 17:05:42.091004
MyFitness Viru,30%,2021-03-05 17:05:42.091005
MyFitness Ülemiste City,45%,2021-03-05 17:05:42.091006
MyFitness Balti Jaama Turg,42%,2021-03-05 18:05:38.749777
MyFitness Järve,58%,2021-03-05 18:05:38.749781
MyFitness Kristiine,34%,2021-03-05 18:05:38.749782
MyFitness Lasnamäe Kärberi,10%,2021-03-05 18:05:38.749783
MyFitness Lasnamäe Linnamäe,15%,2021-03-05 18:05:38.749785
MyFitness Lasnamäe Virbi,16%,2021-03-05 18:05:38.749786
MyFitness Mustamäe,61%,2021-03-05 18:05:38.749787
MyFitness Narva,55%,2021-03-05 18:05:38.749788
MyFitness Pirita,25%,2021-03-05 18:05:38.749789
MyFitness Postimaja,18%,2021-03-05 18:05:38.749790
MyFitness Rocca al Mare,68%,2021-03-05 18:05:38.749791
MyFitness Rävala,60%,2021-03-05 18:05:38.749792
MyFitness Solaris,12%,2021-03-05 18:05:38.749793
MyFitness Tartu Annelinn,58%,2021-03-05 18:05:38.749795
MyFitness Tartu Kesklinn,29%,2021-03-05 18:05:38.749796
MyFitness Tartu Lõunakeskus,33%,2021-03-05 18:05:38.749796
MyFitness Viimsi,26%,2021-03-05 18:05:38.749797
MyFitness Viljandi,34%,2021-03-05 18:05:38.749798
MyFitness Viru,30%,2021-03-05 18:05:38.749799
MyFitness Ülemiste City,46%,2021-03-05 18:05:38.749800
MyFitness Balti Jaama Turg,30%,2021-03-05 19:05:41.590320
MyFitness Järve,48%,2021-03-05 19:05:41.590324
MyFitness Kristiine,24%,2021-03-05 19:05:41.590325
MyFitness Lasnamäe Kärberi,12%,2021-03-05 19:05:41.590326
MyFitness Lasnamäe Linnamäe,15%,2021-03-05 19:05:41.590328
MyFitness Lasnamäe Virbi,6%,2021-03-05 19:05:41.590329
MyFitness Mustamäe,32%,2021-03-05 19:05:41.590330
MyFitness Narva,41%,2021-03-05 19:05:41.590331
MyFitness Pirita,23%,2021-03-05 19:05:41.590332
MyFitness Postimaja,14%,2021-03-05 19:05:41.590333
MyFitness Rocca al Mare,66%,2021-03-05 19:05:41.590334
MyFitness Rävala,39%,2021-03-05 19:05:41.590335
MyFitness Solaris,17%,2021-03-05 19:05:41.590336
MyFitness Tartu Annelinn,49%,2021-03-05 19:05:41.590337
MyFitness Tartu Kesklinn,24%,2021-03-05 19:05:41.590338
MyFitness Tartu Lõunakeskus,35%,2021-03-05 19:05:41.590339
MyFitness Viimsi,28%,2021-03-05 19:05:41.590340
MyFitness Viljandi,25%,2021-03-05 19:05:41.590341
MyFitness Viru,25%,2021-03-05 19:05:41.590342
MyFitness Ülemiste City,36%,2021-03-05 19:05:41.590342
MyFitness Balti Jaama Turg,25%,2021-03-05 20:05:40.617668
MyFitness Järve,20%,2021-03-05 20:05:40.617672
MyFitness Kristiine,3%,2021-03-05 20:05:40.617673
MyFitness Lasnamäe Kärberi,8%,2021-03-05 20:05:40.617689
MyFitness Lasnamäe Linnamäe,15%,2021-03-05 20:05:40.617699
MyFitness Lasnamäe Virbi,6%,2021-03-05 20:05:40.617700
MyFitness Mustamäe,18%,2021-03-05 20:05:40.617700
MyFitness Narva,0%,2021-03-05 20:05:40.617701
MyFitness Pirita,2%,2021-03-05 20:05:40.617702
MyFitness Postimaja,9%,2021-03-05 20:05:40.617703
MyFitness Rocca al Mare,44%,2021-03-05 20:05:40.617704
MyFitness Rävala,35%,2021-03-05 20:05:40.617705
MyFitness Solaris,0%,2021-03-05 20:05:40.617706
MyFitness Tartu Annelinn,25%,2021-03-05 20:05:40.617707
MyFitness Tartu Kesklinn,20%,2021-03-05 20:05:40.617708
MyFitness Tartu Lõunakeskus,2%,2021-03-05 20:05:40.617708
MyFitness Viimsi,23%,2021-03-05 20:05:40.617709
MyFitness Viljandi,9%,2021-03-05 20:05:40.617711
MyFitness Viru,20%,2021-03-05 20:05:40.617711
MyFitness Ülemiste City,13%,2021-03-05 20:05:40.617712
MyFitness Balti Jaama Turg,1%,2021-03-05 21:05:42.303975
MyFitness Järve,0%,2021-03-05 21:05:42.303980
MyFitness Kristiine,3%,2021-03-05 21:05:42.303981
MyFitness Lasnamäe Kärberi,0%,2021-03-05 21:05:42.303981
MyFitness Lasnamäe Linnamäe,3%,2021-03-05 21:05:42.303983
MyFitness Lasnamäe Virbi,3%,2021-03-05 21:05:42.303984
MyFitness Mustamäe,3%,2021-03-05 21:05:42.303985
MyFitness Narva,0%,2021-03-05 21:05:42.303986
MyFitness Pirita,0%,2021-03-05 21:05:42.303987
MyFitness Postimaja,0%,2021-03-05 21:05:42.303988
MyFitness Rocca al Mare,4%,2021-03-05 21:05:42.303989
MyFitness Rävala,0%,2021-03-05 21:05:42.303989
MyFitness Solaris,0%,2021-03-05 21:05:42.303990
MyFitness Tartu Annelinn,1%,2021-03-05 21:05:42.303991
MyFitness Tartu Kesklinn,0%,2021-03-05 21:05:42.303992
MyFitness Tartu Lõunakeskus,0%,2021-03-05 21:05:42.303993
MyFitness Viimsi,0%,2021-03-05 21:05:42.303994
MyFitness Viljandi,9%,2021-03-05 21:05:42.303995
MyFitness Viru,18%,2021-03-05 21:05:42.303995
MyFitness Ülemiste City,1%,2021-03-05 21:05:42.303996
MyFitness Viimsi,0%,2021-03-05 23:05:44.730270
MyFitness Viimsi,0%,2021-03-06 00:05:55.226811
MyFitness Viimsi,0%,2021-03-06 01:05:47.444484
MyFitness Viimsi,0%,2021-03-06 02:05:39.746595
MyFitness Viimsi,0%,2021-03-06 03:05:49.082996
MyFitness Viimsi,0%,2021-03-06 04:05:50.693478
MyFitness Viimsi,0%,2021-03-06 05:05:50.637895
MyFitness Tartu Kesklinn,1%,2021-03-06 06:05:48.850196
MyFitness Viimsi,0%,2021-03-06 06:05:48.850199
MyFitness Balti Jaama Turg,6%,2021-03-06 07:05:44.664930
MyFitness Järve,12%,2021-03-06 07:05:44.664934
MyFitness Kristiine,8%,2021-03-06 07:05:44.664935
MyFitness Lasnamäe Kärberi,4%,2021-03-06 07:05:44.664936
MyFitness Lasnamäe Linnamäe,5%,2021-03-06 07:05:44.664937
MyFitness Lasnamäe Virbi,9%,2021-03-06 07:05:44.664938
MyFitness Mustamäe,11%,2021-03-06 07:05:44.664939
MyFitness Narva,11%,2021-03-06 07:05:44.664940
MyFitness Pirita,5%,2021-03-06 07:05:44.664941
MyFitness Postimaja,5%,2021-03-06 07:05:44.664943
MyFitness Rocca al Mare,32%,2021-03-06 07:05:44.664943
MyFitness Rävala,13%,2021-03-06 07:05:44.664945
MyFitness Tartu Annelinn,17%,2021-03-06 07:05:44.664946
MyFitness Tartu Kesklinn,14%,2021-03-06 07:05:44.664947
MyFitness Tartu Lõunakeskus,19%,2021-03-06 07:05:44.664948
MyFitness Viimsi,5%,2021-03-06 07:05:44.664949
MyFitness Viljandi,11%,2021-03-06 07:05:44.664950
MyFitness Ülemiste City,12%,2021-03-06 07:05:44.664951
MyFitness Balti Jaama Turg,28%,2021-03-06 08:05:46.858220
MyFitness Järve,49%,2021-03-06 08:05:46.858224
MyFitness Kristiine,28%,2021-03-06 08:05:46.858225
MyFitness Lasnamäe Kärberi,19%,2021-03-06 08:05:46.858226
MyFitness Lasnamäe Linnamäe,19%,2021-03-06 08:05:46.858227
MyFitness Lasnamäe Virbi,18%,2021-03-06 08:05:46.858229
MyFitness Mustamäe,41%,2021-03-06 08:05:46.858229
MyFitness Narva,36%,2021-03-06 08:05:46.858230
MyFitness Pirita,27%,2021-03-06 08:05:46.858231
MyFitness Postimaja,11%,2021-03-06 08:05:46.858233
MyFitness Rocca al Mare,67%,2021-03-06 08:05:46.858234
MyFitness Rävala,52%,2021-03-06 08:05:46.858235
MyFitness Solaris,19%,2021-03-06 08:05:46.858236
MyFitness Tartu Annelinn,51%,2021-03-06 08:05:46.858237
MyFitness Tartu Kesklinn,24%,2021-03-06 08:05:46.858238
MyFitness Tartu Lõunakeskus,33%,2021-03-06 08:05:46.858239
MyFitness Viimsi,33%,2021-03-06 08:05:46.858240
MyFitness Viljandi,39%,2021-03-06 08:05:46.858241
MyFitness Viru,8%,2021-03-06 08:05:46.858242
MyFitness Ülemiste City,38%,2021-03-06 08:05:46.858243
MyFitness Balti Jaama Turg,46%,2021-03-06 09:05:43.914313
MyFitness Järve,60%,2021-03-06 09:05:43.914317
MyFitness Kristiine,41%,2021-03-06 09:05:43.914318
MyFitness Lasnamäe Kärberi,31%,2021-03-06 09:05:43.914320
MyFitness Lasnamäe Linnamäe,20%,2021-03-06 09:05:43.914321
MyFitness Lasnamäe Virbi,16%,2021-03-06 09:05:43.914322
MyFitness Mustamäe,36%,2021-03-06 09:05:43.914323
MyFitness Narva,63%,2021-03-06 09:05:43.914324
MyFitness Pirita,42%,2021-03-06 09:05:43.914325
MyFitness Postimaja,18%,2021-03-06 09:05:43.914326
MyFitness Rocca al Mare,72%,2021-03-06 09:05:43.914327
MyFitness Rävala,63%,2021-03-06 09:05:43.914328
MyFitness Solaris,12%,2021-03-06 09:05:43.914329
MyFitness Tartu Annelinn,68%,2021-03-06 09:05:43.914329
MyFitness Tartu Kesklinn,59%,2021-03-06 09:05:43.914330
MyFitness Tartu Lõunakeskus,40%,2021-03-06 09:05:43.914331
MyFitness Viimsi,43%,2021-03-06 09:05:43.914332
MyFitness Viljandi,39%,2021-03-06 09:05:43.914334
MyFitness Viru,22%,2021-03-06 09:05:43.914335
MyFitness Ülemiste City,21%,2021-03-06 09:05:43.914336
MyFitness Balti Jaama Turg,49%,2021-03-06 10:05:49.882556
MyFitness Järve,56%,2021-03-06 10:05:49.882561
MyFitness Kristiine,62%,2021-03-06 10:05:49.882562
MyFitness Lasnamäe Kärberi,38%,2021-03-06 10:05:49.882563
MyFitness Lasnamäe Linnamäe,24%,2021-03-06 10:05:49.882564
MyFitness Lasnamäe Virbi,28%,2021-03-06 10:05:49.882565
MyFitness Mustamäe,46%,2021-03-06 10:05:49.882566
MyFitness Narva,41%,2021-03-06 10:05:49.882567
MyFitness Pirita,28%,2021-03-06 10:05:49.882568
MyFitness Postimaja,35%,2021-03-06 10:05:49.882570
MyFitness Rocca al Mare,78%,2021-03-06 10:05:49.882571
MyFitness Rävala,56%,2021-03-06 10:05:49.882572
MyFitness Solaris,12%,2021-03-06 10:05:49.882573
MyFitness Tartu Annelinn,39%,2021-03-06 10:05:49.882574
MyFitness Tartu Kesklinn,46%,2021-03-06 10:05:49.882575
MyFitness Tartu Lõunakeskus,31%,2021-03-06 10:05:49.882576
MyFitness Viimsi,34%,2021-03-06 10:05:49.882577
MyFitness Viljandi,34%,2021-03-06 10:05:49.882579
MyFitness Viru,25%,2021-03-06 10:05:49.882580
MyFitness Ülemiste City,37%,2021-03-06 10:05:49.882590
MyFitness Balti Jaama Turg,55%,2021-03-06 11:05:40.906190
MyFitness Järve,37%,2021-03-06 11:05:40.906194
MyFitness Kristiine,67%,2021-03-06 11:05:40.906195
MyFitness Lasnamäe Kärberi,43%,2021-03-06 11:05:40.906196
MyFitness Lasnamäe Linnamäe,30%,2021-03-06 11:05:40.906197
MyFitness Lasnamäe Virbi,24%,2021-03-06 11:05:40.906198
MyFitness Mustamäe,53%,2021-03-06 11:05:40.906199
MyFitness Narva,39%,2021-03-06 11:05:40.906200
MyFitness Pirita,38%,2021-03-06 11:05:40.906201
MyFitness Postimaja,31%,2021-03-06 11:05:40.906202
MyFitness Rocca al Mare,89%,2021-03-06 11:05:40.906203
MyFitness Rävala,57%,2021-03-06 11:05:40.906204
MyFitness Solaris,29%,2021-03-06 11:05:40.906204
MyFitness Tartu Annelinn,38%,2021-03-06 11:05:40.906205
MyFitness Tartu Kesklinn,34%,2021-03-06 11:05:40.906206
